Title,Rating,Votes,Duration,Genre
1. A Complete Unknown,7.4,61000,141,biography
2. I'm Still Here,8.4,96000,137,biography
3. Queen of the Ring,7.0,832,140,biography
4. The Apprentice,7.1,51000,122,biography
5. William Tell,5.8,1800,133,biography
6. Better Man,7.6,23000,135,biography
7. Saturday Night,6.9,29000,109,biography
8. Queer,6.5,18000,137,biography
9. Maria,6.4,18000,124,biography
10. Reagan,6.2,11000,141,biography
11. Nr. 24,7.5,14000,111,biography
12. Bonhoeffer: Pastor. Spy. Assassin.,6.3,3400,133,biography
13. Unfrosted,5.5,34000,97,biography
14. The Fire Inside,6.7,2200,109,biography
15. Ordinary Angels,7.4,15000,118,biography
16. Back to Black,6.3,26000,122,biography
17. Young Woman and the Sea,7.5,17000,129,biography
18. Joy,7.1,9000,115,biography
19. Faith of Angels,5.9,172,98,biography
20. Winner,6.5,2300,103,biography
21. Audrey's Children,8.6,71,110,biography
22. Bob Marley: One Love,6.2,34000,107,biography
23. Piece by Piece,6.9,5100,93,biography
24. Cabrini,7.3,8400,142,biography
25. Rob Peace,6.6,1900,120,biography
26. Scoop,6.5,20000,102,biography
27. The Remarkable Life of Ibelin,8.2,12000,103,biography
28. Being Maria,6.1,537,100,biography
29. Midas Man,6.4,1500,112,biography
30. Monsieur Aznavour,7.3,2200,133,biography
31. Amaran,8.2,18000,167,biography
32. Super/Man: The Christopher Reeve Story,8.0,8800,104,biography
33. One to One: John & Yoko,6.8,74,100,biography
34. Maharaj,6.5,15000,131,biography
35. Harbin,6.5,496,108,biography
36. Chhava,8.6,2200,51,biography
37. Goebbels and the Führer,6.7,1900,135,biography
"38. From Hilde, with Love",6.9,785,125,biography
39. El 47,7.2,3200,110,biography
40. Boléro,6.6,741,120,biography
41. Luther: Never Too Much,8.2,788,101,biography
42. Shirley,6.2,3300,117,biography
43. Race for Glory: Audi vs. Lancia,5.8,4600,109,biography
44. Papa,7.5,306,131,biography
45. Ravens,8.2,54,117,biography
46. Niki,5.9,312,98,biography
47. Cookster: The Darkest Days,8.4,37,119,biography
48. Amar Singh Chamkila,7.8,16000,145,biography
49. Avicii - I'm Tim,7.8,6700,95,biography
50. Freedom,5.9,1300,110,biography
51. Srikanth,7.4,14000,134,biography
52. Liza: A Truly Terrific Absolutely True Story,8.1,89,104,biography
53. The Firing Squad,5.4,5000,93,biography
54. The Ballad of Davy Crockett,4.6,245,96,biography
55. Elton John: Never Too Late,6.5,1800,102,biography
56. Limonov: The Ballad of Eddie,6.0,735,138,biography
58. Biggest Heist Ever,6.1,1400,85,biography
59. Pavements,7.1,148,128,biography
60. Quisling: The Final Days,7.1,1100,146,biography
61. Music by John Williams,8.2,4700,105,biography
62. Saint-Exupéry,5.5,239,98,biography
63. Chandu Champion,7.8,34000,142,biography
64. Riefenstahl,7.2,439,115,biography
65. Jim Henson: Idea Man,7.7,3800,111,biography
66. The Bibi Files,7.5,1000,115,biography
67. Prodigieuses,6.6,125,101,biography
68. Drazen,6.6,1300,100,biography
69. Atatürk II: 1881-1919,8.9,1900,141,biography
70. Maidaan,7.9,23000,181,biography
71. The Shamrock Spitfire,5.1,471,108,biography
72. Gundi: Legend of Love,9.0,5400,166,biography
73. I Am: Celine Dion,7.7,7800,103,biography
74. ZEF: The Story of Die Antwoord,7.4,773,90,biography
"75. Sarah Bernhardt, la divine",6.1,157,98,biography
76. Becoming Hitchcock: The Legacy of Blackmail,7.3,237,72,biography
77. The Beach Boys,7.1,2100,113,biography
78. Spyral,8.6,19,83,biography
79. The Great Ambition,7.2,674,123,biography
80. Never Look Away,7.2,248,85,biography
81. John Cranko,7.1,170,133,biography
82. Samia,6.9,123,102,biography
"83. Disco, Ibiza, Locomia",6.0,1500,104,biography
84. The Sidemen Story,6.7,1700,99,biography
85. Stelios,7.3,1400,132,biography
86. Beautiful Rebel,6.3,978,112,biography
87. Oxana,8.2,8,103,biography
88. Becoming Madonna,6.9,174,91,biography
89. La casa,7.0,911,83,biography
90. Faye,7.1,3000,91,biography
91. The Truth vs. Alex Jones,7.5,3000,121,biography
92. Janis Ian: Breaking Silence,8.6,40,114,biography
93. Diddy: Summit to Plummet,2.2,200,60,biography
94. Federer: Twelve Final Days,7.3,4100,88,biography
