Title,Rating,Votes,Duration,Genre
1. Moana 2,6.7,89000,100,musical
2. Wicked,7.5,143000,160,musical
3. Emilia Pérez,5.4,85000,132,musical
4. Mufasa: The Lion King,6.6,48000,118,musical
5. Better Man,7.6,23000,135,musical
6. Joker: Folie à Deux,5.2,157000,138,musical
7. Spermageddon,5.8,620,80,musical
8. Mean Girls,5.6,37000,112,musical
9. Descendants: The Rise of Red,4.7,6900,91,musical
10. Spellbound,5.7,6400,109,musical
11. The End,5.5,1600,148,musical
12. Piece by Piece,6.9,5100,93,musical
13. The Merry Gentlemen,4.8,10000,87,musical
14. Thelma the Unicorn,5.7,2900,93,musical
15. This Is Me... Now,4.1,7100,65,musical
16. How Could I Live Without You?,6.9,933,105,musical
17. The Deb,7.7,68,121,musical
18. The Night Before Christmas in Wonderland,6.3,509,80,musical
19. Girl from the North Country,7.0,12,152,musical
20. Victory,6.4,230,120,musical
21. O Melhor Amigo,7.6,35,96,musical
22. Chainsaws Were Singing,7.2,344,117,musical
23. Fox & Hare Save the Forest,5.9,193,71,musical
24. Noah's Ark,4.3,625,96,musical
25. Dans la cuisine des Nguyen,7.3,63,99,musical
26. Polvo serán,6.7,281,106,musical
27. Gaga Chromatica Ball,8.1,2000,117,musical
28. Bonnie and Clyde: The Musical,7.6,84,150,musical
29. The Opera!,7.2,46,106,musical
30. Queens of Drama,6.3,177,114,musical
31. Shannon Matthews the Musical the Movie,8.0,176,91,musical
32. Varshangalkku Shesham,6.6,4100,166,musical
33. Amaltash,8.1,145,113,musical
34. Captain Avispa,5.8,172,96,musical
36. First Nights at Freddy's,9.3,15,98,musical
37. Dongeng Sang Kancil,8.3,80,99,musical
38. Eating Me Up,8.6,290,104,musical
39. Kajolrekha,6.3,170,156,musical
42. Sisters and Neighbors!,6.5,182,105,musical
43. Carol,8.3,47,115,musical
44. Petta Rap,4.2,1700,123,musical
"45. Kiss Me, Kate: The Musical",7.7,26,161,musical
46. Isang himala,7.5,23,145,musical
47. Heart Strings,6.4,9,107,musical
49. Pattaapakal,2.6,220,104,musical
51. KorimDick,8.6,7,21,musical
52. The Good Loan Sharks,5.0,75,122,musical
56. Benjamin Bat,8.1,28,75,musical
57. Krispy Rishtey,6.6,69,133,musical
58. Trapezium,6.4,137,102,musical
60. My Favourite Things: The Rodgers & Hammerstein 80th Anniversary Concert,7.9,55,0,musical
61. Call Me Agnes,7.2,12,94,musical
63. Shahid,6.5,81,84,musical
65. Hov1 4-ever,6.4,73,92,musical
66. Keo=peul-ji-ok,5.3,6,94,musical
68. Podrostki. Pervaya lyubov,5.7,54,107,musical
76. Zhi Ci Qing Lv,6.8,47,89,musical
78. Under Streetlights,9.8,13,90,musical
81. Mezhdu nami leto,5.8,53,113,musical
83. Ya Boy Kongming! Road to Summer Sonia,7.5,38,119,musical
90. Solo Town,6.4,24,103,musical
"103. Bryson, the Demon Slayer",4.5,12,59,musical
104. Peaceful Lights,9.8,17,86,musical
107. El musical de los 80s y los 90s. La película,6.1,8,80,musical
131. The Clashing Elements: Saviors of the Multiverse,6.6,7,91,musical
133. Iyus Jenius,9.0,7,82,musical
137. Rangde,8.6,6,143,musical
