Title,Rating,Votes,Duration,Genre
1. The Substance,7.3,282000,141,sci-fi
2. Sonic the Hedgehog 3,6.9,53000,110,sci-fi
3. Venom: The Last Dance,6.0,108000,110,sci-fi
4. The Wild Robot,8.2,153000,102,sci-fi
5. Dune: Part Two,8.5,614000,166,sci-fi
6. Elevation,5.6,20000,91,sci-fi
7. Furiosa: A Mad Max Saga,7.5,280000,148,sci-fi
8. Deadpool & Wolverine,7.6,481000,128,sci-fi
9. The Day the Earth Blew Up: A Looney Tunes Movie,7.0,2400,91,sci-fi
10. Borderlands,4.7,46000,101,sci-fi
11. The Life of Chuck,7.7,463,110,sci-fi
12. Alien: Romulus,7.1,238000,119,sci-fi
13. Subservience,5.4,26000,106,sci-fi
14. Despicable Me 4,6.2,63000,94,sci-fi
15. Megalopolis,4.7,35000,138,sci-fi
16. Kingdom of the Planet of the Apes,6.9,149000,145,sci-fi
17. Transformers One,7.6,48000,104,sci-fi
18. A Quiet Place: Day One,6.3,146000,99,sci-fi
19. It's What's Inside,6.6,41000,103,sci-fi
20. Ghostbusters: Frozen Empire,6.1,92000,115,sci-fi
21. Caddo Lake,6.8,41000,103,sci-fi
22. Madame Web,4.0,99000,116,sci-fi
23. Godzilla x Kong: The New Empire,6.1,120000,115,sci-fi
24. Wallace & Gromit: Vengeance Most Fowl,7.5,33000,82,sci-fi
25. Distant,5.7,3000,87,sci-fi
26. Y2K,4.9,9900,91,sci-fi
27. The Shrouds,5.8,742,119,sci-fi
28. Spaceman,5.7,42000,107,sci-fi
29. Uglies,4.7,32000,100,sci-fi
30. The Assessment,7.2,564,114,sci-fi
31. Arcadian,5.5,22000,92,sci-fi
32. Apocalypse Z: The Beginning of the End,6.1,19000,117,sci-fi
33. Kalki 2898 AD,7.0,66000,180,sci-fi
34. Slingshot,5.7,8800,108,sci-fi
35. Time Cut,5.0,18000,91,sci-fi
36. The Silent Planet,4.8,189,95,sci-fi
37. The Empire,5.2,1200,110,sci-fi
38. Atlas,5.6,55000,118,sci-fi
39. Survive,4.6,2100,90,sci-fi
40. Afraid,5.2,13000,84,sci-fi
41. Things Will Be Different,5.2,2300,102,sci-fi
42. Watchmen: Chapter I,7.0,6300,83,sci-fi
43. Love Me,5.2,2200,91,sci-fi
44. Rebel Moon - Part Two: The Scargiver,5.3,59000,122,sci-fi
45. The End,5.5,1600,148,sci-fi
46. We're All Gonna Die,8.3,82,110,sci-fi
47. Levels,5.0,1500,93,sci-fi
48. The Platform 2,4.9,39000,99,sci-fi
49. Die Alone,5.7,2700,91,sci-fi
50. Omni Loop,5.5,2700,112,sci-fi
51. Trapped Inn,2.8,889,115,sci-fi
52. Rich Flu,6.1,4700,116,sci-fi
53. Last Night on Earth,4.8,335,86,sci-fi
54. Sting,5.7,16000,91,sci-fi
55. Breathe,4.2,7000,93,sci-fi
56. Lumina,2.1,646,113,sci-fi
57. Agent Recon,2.4,661,85,sci-fi
58. V/H/S/Beyond,5.9,9200,114,sci-fi
59. Watchmen: Chapter II,7.0,2800,90,sci-fi
60. Megamind vs. The Doom Syndicate,2.5,5500,83,sci-fi
61. Turn Me On,5.6,443,99,sci-fi
62. South of Hope Street,6.5,1400,101,sci-fi
63. Moon Maidens 2,3.5,31,69,sci-fi
64. Code 8: Part II,5.7,16000,100,sci-fi
65. My Hero Academia: You're Next,7.0,1900,110,sci-fi
66. Justice League: Crisis on Infinite Earths - Part One,6.2,8300,93,sci-fi
67. City Hunter,6.3,5500,102,sci-fi
68. Year 10,5.4,1800,96,sci-fi
69. The Greatest Hits,6.2,7200,94,sci-fi
70. Badland Hunters,5.9,12000,107,sci-fi
71. Justice League: Crisis on Infinite Earths - Part Three,6.1,4400,94,sci-fi
72. Street Trash,4.5,758,85,sci-fi
73. Drive Back,4.7,288,94,sci-fi
74. Replicator,4.1,117,75,sci-fi
75. The Fix,4.6,1100,98,sci-fi
76. Arena Wars,4.9,2000,96,sci-fi
77. Guest from the Future,6.0,1200,141,sci-fi
78. Ick,5.6,197,87,sci-fi
79. Unspeakable: Beyond the Wall of Sleep,5.9,38,90,sci-fi
80. Timestalker,5.5,2900,89,sci-fi
81. Ultraman: Rising,6.9,6200,117,sci-fi
82. Can I Get a Witness,6.8,68,110,sci-fi
83. Wonderland,6.2,2200,113,sci-fi
84. Doraemon the Movie: Nobita's Earth Symphony,6.6,1400,115,sci-fi
85. Parallel,5.3,1900,88,sci-fi
86. Latency,4.2,1700,94,sci-fi
87. The Thundermans Return,5.0,1800,70,sci-fi
88. Mars,8.9,19,84,sci-fi
89. The Thinking Game,7.6,121,84,sci-fi
90. Justice League: Crisis on Infinite Earths - Part Two,5.5,5200,94,sci-fi
91. Sentinel,2.6,751,90,sci-fi
92. Fight Another Day,5.1,329,97,sci-fi
93. Terminator: Skynet Rising,6.9,259,88,sci-fi
94. Alien: Rubicon,2.4,330,86,sci-fi
95. J Loop,5.3,173,99,sci-fi
96. X Files,1.9,61,74,sci-fi
97. Meanwhile on Earth,6.0,876,89,sci-fi
98. Alien Weekend,5.3,140,95,sci-fi
99. Test Screening,6.9,64,92,sci-fi
100. Teri Baaton Mein Aisa Uljha Jiya,6.2,54000,141,sci-fi
101. Baby Invasion,5.0,148,80,sci-fi
102. Peripheral,9.4,22,88,sci-fi
103. Maid Droid Origins,3.0,312,96,sci-fi
104. Another End,6.5,707,129,sci-fi
105. Uranus 2324,6.5,4700,130,sci-fi
106. Previously Saved Version,5.5,405,117,sci-fi
107. 40 Acres,6.5,103,113,sci-fi
108. Light,2.7,1200,93,sci-fi
109. Daniela Forever,6.3,199,113,sci-fi
110. Futra Days,4.1,138,99,sci-fi
111. All the Lost Ones,3.8,228,105,sci-fi
112. War of the Worlds: Extinction,3.0,180,84,sci-fi
113. Tim Travers & the Time Travelers Paradox,6.9,273,95,sci-fi
"114. Canadian, Sniper",3.5,346,83,sci-fi
115. Justicia artificial,5.6,407,98,sci-fi
116. The Last Ronin,4.9,228,121,sci-fi
117. U Are the Universe,7.8,234,90,sci-fi
118. Black,7.1,2700,115,sci-fi
119. Black Eyed Susan,5.0,317,85,sci-fi
120. Bade Miyan Chote Miyan,3.8,39000,163,sci-fi
121. Bionic,4.3,1700,110,sci-fi
122. Going Viral,6.8,50,90,sci-fi
123. Desert Road,6.7,154,90,sci-fi
124. Lesbian Space Princess,8.0,98,87,sci-fi
125. Balestra,5.1,514,145,sci-fi
126. UI,6.9,5600,135,sci-fi
127. Escape from the 21st Century,6.5,819,98,sci-fi
128. The Invisibles,5.9,454,111,sci-fi
129. Ghost Planet,4.8,257,85,sci-fi
130. Cora,4.7,790,100,sci-fi
131. Planet B,5.4,139,118,sci-fi
132. Psychonaut,7.6,12,87,sci-fi
134. Alienoid: The Return to the Future,6.5,2500,122,sci-fi
135. The Bunker,7.1,43,92,sci-fi
136. Else,6.1,225,100,sci-fi
137. Tacoma,3.5,167,103,sci-fi
138. No Time to Spy: A Loud House Movie,6.4,436,81,sci-fi
139. Somnium,8.5,40,92,sci-fi
140. Sci-Fi Vixens from Beyond,4.1,43,74,sci-fi
141. Bureau 749,4.1,503,123,sci-fi
142. Ayalaan,6.0,4000,155,sci-fi
143. Remnant,2.6,315,112,sci-fi
144. Unexposed,7.6,61,63,sci-fi
145. Mummy Shark,2.0,171,66,sci-fi
146. How to Solve Your Own Murder,7.6,41,99,sci-fi
147. S.T.A.L.K.E.R.: Shadow of the Zone,5.2,449,72,sci-fi
149. Mobile Suit Gundam SEED Freedom,6.6,926,124,sci-fi
150. Gaami,6.4,2000,147,sci-fi
151. The Phantom Warrior,2.4,553,119,sci-fi
152. Space Sharks,1.5,313,70,sci-fi
153. The Alien Report,4.6,151,81,sci-fi
"154. Aire, Just Breathe",4.7,185,98,sci-fi
155. Space Command Redemption,4.5,152,122,sci-fi
156. Clone Cops,8.1,186,96,sci-fi
157. Blink,7.0,1500,136,sci-fi
158. www.RachelOrmont.com,3.4,31,80,sci-fi
159. Good Neighbours,3.1,163,84,sci-fi
160. Buddy,3.8,340,137,sci-fi
161. Ape X Mecha Ape: New World Order,2.7,129,87,sci-fi
162. Saturn,7.4,28,100,sci-fi
163. Bury Your Dead,5.4,76,128,sci-fi
164. Offworld: Alien Planet,3.6,112,92,sci-fi
165. You Are Not Alone,6.2,61,105,sci-fi
166. Invasión,3.7,46,91,sci-fi
168. Schirkoa: In Lies We Trust,5.6,154,103,sci-fi
169. In Vitro,6.4,114,89,sci-fi
170. Jon Vardar protiv Galaksijata,8.9,60,86,sci-fi
171. Big City Greens the Movie: Spacecation,6.2,533,0,sci-fi
172. Neon Fear,6.2,389,40,sci-fi
173. Raduaa Returns,5.5,69,137,sci-fi
174. Addy Daddy,7.6,27,118,sci-fi
175. THEDÆMON,6.9,37,87,sci-fi
176. Earthquake Underground,3.3,190,83,sci-fi
177. Staycation,7.1,102,94,sci-fi
178. Lunacy,5.0,60,77,sci-fi
179. Re:Human,5.8,40,108,sci-fi
180. Dead Dead Demon's Dededede Destruction,7.0,138,120,sci-fi
182. Taklee Genesis x Worlds Collide,5.5,383,146,sci-fi
185. Buying Time,7.0,259,84,sci-fi
186. Jurassic Triangle,2.5,277,84,sci-fi
188. Touchdown,6.8,13,78,sci-fi
189. The Strange Dark,9.1,36,84,sci-fi
190. Captain Avispa,5.8,172,96,sci-fi
191. Night of the Skinwalkers,2.5,707,94,sci-fi
192. Agapouse ta louloudia perissotero,5.3,177,86,sci-fi
193. Aftermath,5.4,4400,78,sci-fi
195. Alien Country,4.4,349,96,sci-fi
196. Oculus,6.0,15,113,sci-fi
198. Dragon Ball Z Kai,8.4,66,82,sci-fi
199. C'est le monde à l'envers !,5.3,87,114,sci-fi
200. Creep Encounters,6.2,61,90,sci-fi
202. The A-Frame,7.2,36,82,sci-fi
203. Guy Manley: Super Spy,4.5,115,92,sci-fi
204. Infinite Summer,5.4,83,86,sci-fi
205. Project Dorothy,4.0,3200,80,sci-fi
206. Rahasyam Idham Jagath,7.5,49,153,sci-fi
207. Permafrost,5.7,112,80,sci-fi
209. Dark Fusion,8.5,233,90,sci-fi
210. Mutant,4.5,58,90,sci-fi
211. Anunnakiler,2.5,430,76,sci-fi
212. The Dugout,5.5,747,114,sci-fi
213. Future Date,6.6,120,82,sci-fi
215. Sign Here,6.2,243,100,sci-fi
216. Abaddon's Pit,6.0,38,93,sci-fi
217. Vampire Zombies... From Space!,7.6,59,98,sci-fi
220. Quadrant,4.3,138,73,sci-fi
221. UmroAyyar - A New Beginning,6.9,670,135,sci-fi
222. Operation War Thunder,5.3,116,74,sci-fi
223. The Epidemic,5.8,69,95,sci-fi
224. Alien Hunt,3.1,133,80,sci-fi
225. Isleen Pines,5.2,539,84,sci-fi
226. Star Abyss,3.8,241,86,sci-fi
227. SCP: The Infinite Mission,6.0,19,0,sci-fi
229. Spark,5.3,50,110,sci-fi
230. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,7.2,27,71,sci-fi
231. Electric Child,6.3,64,118,sci-fi
232. Gaganachari,6.8,1100,115,sci-fi
233. It All Comes with the Cold Water,8.3,148,88,sci-fi
234. Traces of Love,6.5,902,105,sci-fi
237. The Secret of Pin-Up Island,7.4,92,107,sci-fi
240. Our Man in L.A.,3.8,123,71,sci-fi
241. Arctic Hollow,2.3,179,70,sci-fi
242. Fuuto PI: Portrait of Kamen Rider Skull,7.6,31,82,sci-fi
243. The Captives,3.5,65,73,sci-fi
244. Miracle Mirrors,6.5,107,103,sci-fi
245. Double Ismart,2.9,2100,156,sci-fi
246. Aiden,2.6,117,74,sci-fi
248. Rani Rani Rani,7.5,18,97,sci-fi
249. Hinter dem Eisernen Horizont,7.3,11,88,sci-fi
252. Planetquake,3.0,282,85,sci-fi
253. Something in the Dark,7.2,22,87,sci-fi
254. Honshin,6.5,25,122,sci-fi
256. Touch,8.0,10,63,sci-fi
257. Hidden Memories,5.9,31,84,sci-fi
260. Tees,7.4,8,142,sci-fi
261. Heavens: The Boy and His Robot,6.3,21,98,sci-fi
262. The Human Hibernation,6.4,61,90,sci-fi
263. The Worlds Divide,8.0,36,120,sci-fi
264. Replika,5.2,42,125,sci-fi
265. Daha Iyi Bir Yarin,6.6,60,108,sci-fi
267. Mame snova 17,5.5,172,108,sci-fi
268. O Melhor dos Mundos,6.3,42,70,sci-fi
269. Room 0,3.1,208,102,sci-fi
271. Transient,6.3,274,96,sci-fi
273. Prishelets,5.5,146,73,sci-fi
275. Adresi Olmayan Ev,5.8,29,96,sci-fi
276. Weapon,5.5,5500,120,sci-fi
277. Boreal,7.3,10,82,sci-fi
279. Gravediggers,6.6,27,91,sci-fi
280. The Deadly Swarm,2.4,185,81,sci-fi
281. Franta mimozemstan,4.7,71,98,sci-fi
283. Zenith,6.0,29,74,sci-fi
285. Agrinai,7.9,66,93,sci-fi
286. Ascension,3.9,27,97,sci-fi
288. Pandasaurus,3.5,53,78,sci-fi
291. Day of the Clones,4.0,59,98,sci-fi
292. The Washer,7.5,9,90,sci-fi
293. The Eye of the Salamander,7.9,20,81,sci-fi
295. Kuramerukagari,5.8,79,61,sci-fi
296. Red vs. Blue: Restoration,5.6,135,85,sci-fi
298. Telekinesis,5.9,60,106,sci-fi
299. Dead Dead Demon's Dededede Destruction Zenpen,7.0,136,120,sci-fi
300. Milestone,8.2,15,88,sci-fi
301. Kade,6.5,15,92,sci-fi
304. Perspectiva,6.2,96,90,sci-fi
305. Yesterday After Tomorrow,5.2,311,120,sci-fi
306. Quantum Suicide,6.1,16,87,sci-fi
307. Mama,8.5,7,100,sci-fi
308. Max Beyond,6.6,17,93,sci-fi
311. Dead Talk Tales: Volume I,6.6,26,98,sci-fi
313. Piraty galaktiki Barrakuda,4.4,79,92,sci-fi
314. Iron Nest of the Moon,7.6,13,70,sci-fi
315. Tokusou Sentai Dekaranger 20th: Fireball Booster,7.1,29,50,sci-fi
318. Tales Beyond the Galaxy,5.4,148,76,sci-fi
