Title,Rating,Votes,Duration,Genre
1. William Tell,5.8,1800,133,war
2. The Ministry of Ungentlemanly Warfare,6.8,132000,122,war
3. The Six Triple Eight,6.7,25000,127,war
4. Dirty Angels,4.3,3200,104,war
5. My Dead Friend Zoe,6.8,1500,103,war
6. Nr. 24,7.5,14000,111,war
7. Blitz,6.2,16000,120,war
8. Escape from Germany,5.3,907,97,war
9. Amaran,8.2,18000,167,war
10. Uprising,6.6,5300,126,war
11. Before Dawn,5.4,934,101,war
12. Chhava,8.6,2200,51,war
13. Goebbels and the Führer,6.7,1900,135,war
14. Laws of Man,4.1,330,98,war
15. The Witch: Revenge,5.3,777,100,war
16. Murder Company,3.7,1500,86,war
17. Decoded,5.8,419,156,war
18. WWII: Operation Phoenix,6.6,63,106,war
19. Without Blood,7.5,88,91,war
"20. Love, Courage and the Battle of Bushy Run",5.0,173,113,war
21. Quisling: The Final Days,7.1,1100,146,war
22. Chandu Champion,7.8,34000,142,war
23. The Last Front,5.5,602,98,war
24. Bau: Artist at War,7.1,52,130,war
25. Invasion,4.8,665,91,war
26. Atatürk II: 1881-1919,8.9,1900,141,war
"27. Canadian, Sniper",3.5,346,83,war
28. Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2,651,174,war
29. The Volunteers: The Battle of Life and Death,6.2,215,144,war
30. The Shamrock Spitfire,5.1,471,108,war
31. Battlefield,6.2,640,104,war
32. Ka Whawhai Tonu,7.4,170,115,war
33. The Friendly,8.1,15,101,war
34. Never Alone,7.2,402,85,war
35. Orang Ikan,6.5,31,83,war
36. The Yin Yang Master Zero,5.7,257,112,war
37. Conquer: Lahad Datu,6.7,496,120,war
38. Aserb: The Squadron,5.2,299,120,war
39. Bozji gnjev,7.2,58,111,war
40. Fortunes of War,3.5,174,85,war
41. Red Poppies,4.7,294,122,war
42. War Blade,3.9,253,94,war
43. Ludzie,6.9,45,117,war
44. White Courage,6.3,608,115,war
45. Kang Mak,6.4,760,122,war
46. Klitschko: More Than a Fight,6.3,492,96,war
49. The Liberation Men,6.5,76,90,war
50. Bardejov,4.8,176,85,war
51. 24 Hours to D-Day,4.7,35,83,war
"52. Dao, Pho Va Piano",5.9,190,100,war
53. The Dugout,5.5,747,114,war
54. Air War,6.4,113,106,war
56. The Epidemic,5.8,69,95,war
57. We Were Recruits,7.0,231,92,war
59. Russians at War,1.8,1000,129,war
60. Haywire: Gunslingers,2.2,25,85,war
62. The Mousetrap,6.9,13,87,war
"63. America, Invaded",7.2,19,82,war
64. Burning Stars,6.6,45,84,war
67. October 7 - Al Jazeera Investigations,6.5,40,60,war
68. Hitler,5.2,302,128,war
70. Blood Vendetta,7.7,234,90,war
73. Pozyvnoy «Passazhir»,4.8,220,101,war
74. Pidyomna syla,8.9,63,87,war
81. Korni,8.2,14,137,war
82. Eddy's oorlog,7.7,46,101,war
83. Village of Death: Oradour-sur-Glane 1944,7.8,14,58,war
86. Operation Star,7.6,23,102,war
95. Kara Kyz,4.8,19,111,war
98. Vremya vernutsya,7.6,12,100,war
99. Krasnye lenty,5.3,18,62,war
103. Sem chyornykh bumag,6.6,55,96,war
109. Churchill's Forgotten War,7.8,10,47,war
111. Los indomables,6.5,9,106,war
"114. Por ti, Portugal, eu juro!",7.6,5,98,war
115. Krigsvarsleren,7.4,7,55,war
119. Dosije Kosovo - Pogrom,7.6,5,109,war
120. On Moral Grounds,8.4,7,74,war
