Title,Rating,Votes,Duration,Genre
1. Horizon: An American Saga - Chapter 1,6.7,39000,181,western
2. Rust,5.6,173,133,western
3. Horizon: An American Saga - Chapter 2,7.1,1200,190,western
4. The Thicket,5.8,2900,108,western
5. The Unholy Trinity,7.9,49,93,western
6. Pedro Páramo,6.3,2800,130,western
7. Calamity Jane,4.4,785,95,western
8. Golden Kamuy,6.3,2500,127,western
9. Buffalo Kids,6.6,643,93,western
10. Seven Cemeteries,4.5,513,84,western
11. The Ballad of Davy Crockett,4.6,245,96,western
12. Outlaw Posse,4.3,518,108,western
13. Over the Red River,3.5,75,83,western
15. Taken from Rio Bravo,3.0,308,80,western
16. Eye for an Eye 2,6.5,483,90,western
18. Unnatural,5.1,90,104,western
19. Paradise,6.9,77,83,western
20. The Night They Came Home,3.5,431,105,western
21. Fyre Rises,6.5,321,110,western
22. Ghosts of Red Ridge,3.3,145,81,western
23. Joe Crist,5.4,74,53,western
24. They Call Her Death,6.5,25,92,western
27. My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,5.0,7,74,western
28. Same Old West,8.5,29,98,western
29. Coyote Woman,2.2,74,110,western
32. Lady Outlaw,6.8,16,104,western
35. Hinter dem Eisernen Horizont,7.3,11,88,western
37. Oro Amargo,7.8,25,83,western
39. Malaikottai Vaaliban,6.0,4100,156,western
42. The Ecstasy of Gold: The Treasure of Jesse James,6.2,13,90,western
43. Escanyapobres,7.4,37,102,western
44. Death After Dusk,5.7,89,140,western
45. Searching for the Elephant,5.8,33,116,western
46. Zoloto Umalty,5.0,101,109,western
47. Once Upon a Time in Amityville,3.7,48,73,western
48. In Search of Bass Reeves,6.1,57,105,western
49. Myall Creek Day of Justice,6.4,17,78,western
54. El Vaquero,8.0,10,93,western
57. Jama,6.3,16,71,western
64. Travesty,6.4,5,78,western
67. Bo Nan Za,9.1,28,61,western
68. Last Flamingo of the Red Summer Sunset,8.8,13,80,western
69. The Wolf in the Chute,9.0,12,33,western
70. Adiós al amigo,7.3,7,118,western
